addr	name	signature	params	locals	calling_conv	external	thunk	size
00401000	FUN_00401000	undefined FUN_00401000(void)	0	0	__fastcall	false	false	1
00401010	FUN_00401010	undefined8 FUN_00401010(void)	0	0	__fastcall	false	false	262
00401130	FUN_00401130	undefined FUN_00401130(void)	0	1	__fastcall	false	false	73
00401180	FUN_00401180	int FUN_00401180(undefined8 param_1, undefined * param_2, undefined8 param_3, undefined8 param_4)	4	3	__fastcall	false	false	775
004014c0	entry	undefined entry(undefined8 param_1, undefined * param_2, undefined8 param_3, undefined8 param_4)	4	0	__fastcall	false	false	34
004014f0	FUN_004014f0	undefined FUN_004014f0(undefined8 param_1, undefined * param_2, undefined8 param_3, undefined8 param_4)	4	0	__fastcall	false	false	34
00401520	FUN_00401520	int FUN_00401520(_onexit_t param_1)	1	0	__fastcall	false	false	25
00401540	FUN_00401540	undefined FUN_00401540(void)	0	0	__fastcall	false	false	12
00401550	FUN_00401550	undefined FUN_00401550(void)	0	0	__fastcall	false	false	1
00401580	FUN_00401580	undefined8 FUN_00401580(longlong param_1)	1	4	__fastcall	false	false	192
00401640	FUN_00401640	undefined FUN_00401640(longlong param_1, undefined8 param_2)	2	4	__fastcall	false	false	369
004017b1	FUN_004017b1	undefined FUN_004017b1(longlong param_1)	1	3	__fastcall	false	false	189
00401adb	FUN_00401adb	undefined FUN_00401adb(void)	0	29	__fastcall	false	false	1171
00401f6e	FUN_00401f6e	undefined FUN_00401f6e(PAINTSTRUCT * param_1)	1	1	__fastcall	false	false	651
00402792	FUN_00402792	undefined1 FUN_00402792(undefined1 * param_1)	1	2	__fastcall	false	false	36
0040386d	FUN_0040386d	undefined1 FUN_0040386d(longlong param_1)	1	6	__fastcall	false	false	181
00403c4d	FUN_00403c4d	bool FUN_00403c4d(longlong param_1)	1	2	__fastcall	false	false	107
00404152	FUN_00404152	undefined FUN_00404152(longlong param_1, COLORREF param_2)	2	5	__fastcall	false	false	696
00405114	FUN_00405114	undefined FUN_00405114(longlong param_1, int param_2)	2	3	__fastcall	false	false	675
004054a4	FUN_004054a4	undefined FUN_004054a4(longlong param_1, COLORREF param_2)	2	4	__fastcall	false	false	168
00405896	FUN_00405896	undefined FUN_00405896(undefined8 * param_1, char param_2)	2	2	__fastcall	false	false	75
004064aa	FUN_004064aa	undefined FUN_004064aa(longlong * param_1, int param_2)	2	5	__fastcall	false	false	329
0040666d	FUN_0040666d	undefined FUN_0040666d(longlong * param_1, int param_2)	2	6	__fastcall	false	false	483
004068d2	FUN_004068d2	undefined FUN_004068d2(longlong * param_1, char * param_2)	2	7	__fastcall	false	false	621
00406b3f	FUN_00406b3f	undefined FUN_00406b3f(undefined8 * param_1)	1	1	__fastcall	false	false	32
00406bb7	FUN_00406bb7	undefined8 FUN_00406bb7(undefined8 * param_1)	1	2	__fastcall	false	false	40
00406bdf	FUN_00406bdf	undefined FUN_00406bdf(undefined8 * param_1, undefined8 param_2)	2	2	__fastcall	false	false	32
00406d9e	FUN_00406d9e	undefined FUN_00406d9e(longlong param_1, undefined4 param_2)	2	2	__fastcall	false	false	31
004074f2	FUN_004074f2	longlong FUN_004074f2(int * param_1)	1	3	__fastcall	false	false	103
00407896	FUN_00407896	undefined FUN_00407896(longlong param_1, undefined8 param_2)	2	2	__fastcall	false	false	33
004078dc	FUN_004078dc	undefined FUN_004078dc(undefined4 * param_1, undefined4 param_2)	2	2	__fastcall	false	false	30
00408972	FUN_00408972	undefined FUN_00408972(int * param_1, longlong param_2)	2	3	__fastcall	false	false	74
00408d9f	FUN_00408d9f	undefined FUN_00408d9f(int * param_1, undefined4 param_2)	2	5	__fastcall	false	false	162
00408f03	FUN_00408f03	undefined FUN_00408f03(int * param_1, undefined4 param_2)	2	5	__fastcall	false	false	162
00409024	FUN_00409024	undefined FUN_00409024(int * param_1, char * param_2)	2	4	__fastcall	false	false	100
00409200	FUN_00409200	undefined FUN_00409200(int * param_1, longlong param_2, undefined8 param_3)	3	15	__fastcall	false	false	879
004095b3	FUN_004095b3	undefined FUN_004095b3(undefined8 * param_1, longlong param_2)	2	2	__fastcall	false	false	40
00409626	FUN_00409626	undefined FUN_00409626(undefined8 * param_1, char param_2)	2	2	__fastcall	false	false	80
00409f1e	FUN_00409f1e	bool FUN_00409f1e(int * param_1)	1	3	__fastcall	false	false	94
00409f7c	FUN_00409f7c	undefined FUN_00409f7c(int * param_1, char param_2)	2	23	__fastcall	false	false	2385
0040a8cd	FUN_0040a8cd	bool FUN_0040a8cd(int * param_1)	1	3	__fastcall	false	false	94
0040a92b	FUN_0040a92b	undefined FUN_0040a92b(int * param_1, char param_2)	2	23	__fastcall	false	false	2363
0040b2ac	FUN_0040b2ac	undefined FUN_0040b2ac(int * param_1, longlong param_2)	2	3	__fastcall	false	false	74
0040b68e	FUN_0040b68e	undefined FUN_0040b68e(int * param_1, undefined4 param_2)	2	5	__fastcall	false	false	162
0040b7f2	FUN_0040b7f2	undefined FUN_0040b7f2(int * param_1, undefined4 param_2)	2	5	__fastcall	false	false	162
0040bbfe	FUN_0040bbfe	undefined FUN_0040bbfe(int * param_1, char * param_2)	2	4	__fastcall	false	false	100
0040bc62	FUN_0040bc62	undefined FUN_0040bc62(int * param_1, longlong param_2, undefined8 param_3, uint param_4)	4	31	__fastcall	false	false	1693
0040c2ff	FUN_0040c2ff	uint * FUN_0040c2ff(uint * param_1, undefined8 * param_2)	2	3	__fastcall	false	false	68
0040c343	FUN_0040c343	undefined FUN_0040c343(undefined8 * param_1, longlong param_2)	2	2	__fastcall	false	false	40
0040c797	FUN_0040c797	undefined FUN_0040c797(int * param_1, uint param_2)	2	3	__fastcall	false	false	82
0040cc3d	FUN_0040cc3d	undefined FUN_0040cc3d(int * param_1, longlong param_2, undefined8 param_3)	3	32	__fastcall	false	false	7039
0040e853	FUN_0040e853	int FUN_0040e853(undefined8 * param_1, longlong param_2, longlong param_3)	3	5	__fastcall	false	false	121
0040e945	FUN_0040e945	undefined FUN_0040e945(undefined8 * param_1, int param_2)	2	2	__fastcall	false	false	61
