addr	type	length	value
004366c0	unicode	20	text/html
004366d8	string	12	Shlwapi.dll
004366e8	string	20	PathMatchSpecExW
00436700	string	12	UrlFixupW
00436788	string	12	crypt32.dll
00436798	string	24	CryptBinaryToStringA
004367b0	string	24	CryptBinaryToStringW
004367c8	string	24	CryptStringToBinaryA
004367e0	string	24	CryptStringToBinaryW
00436808	string	8	Message
00436810	unicode	20	NtDll.dll
00436828	string	14	RtlGetVersion
00436840	string	16	COMCTL32.DLL
00436860	string	12	shell32.dll
00436870	string	16	Control_RunDLLW
00436888	unicode	76	SOFTWARE\Microsoft\Internet Explorer
004368d8	unicode	16	Version
00436908	string	8	IEFrame
00436910	string	20	MozillaWindowClass
00436928	string	20	Chrome_WidgetWin_1
00436940	unicode	16	mailto
00436988	unicode	80	Software\Microsoft\Shared Tools\MSInfo
004369f8	string	24	UuidCreateSequential
00436a28	unicode	36	tooltips_class32
00436a50	string	11	user32.dll
00436a60	string	20	SetProcessDPIAware
00436a78	string	18	IsProcessDPIAware
00436a90	unicode	64	Software\Microsoft\Windows\DWM
00436ad0	unicode	28	UseDpiScaling
00436af0	string	16	Comctl32.dll
00436b00	string	16	LoadIconMetric
00436b10	unicode	16	DISPLAY
00436b28	unicode	36	tooltips_class32
00436b50	string	15	VFBWindowClass
00436b60	string	9	Segoe UI
00436b70	string	7	Tahoma
00436b78	string	7	BUTTON
00436b80	unicode	14	BUTTON
00436b90	unicode	26	CUSTOMBUTTON
00436bb0	unicode	32	OWNERDRAWBUTTON
00436bd0	string	7	Button
00436bd8	string	7	OPTION
00436be0	unicode	24	RADIOBUTTON
00436bf8	unicode	14	OPTION
00436c08	unicode	18	CHECKBOX
00436c20	unicode	24	CHECK3STATE
00436c38	unicode	12	LABEL
00436c48	string	7	Static
00436c50	string	12	BITMAPLABEL
00436c60	unicode	24	BITMAPLABEL
00436c78	string	10	ICONLABEL
00436c88	unicode	20	ICONLABEL
00436ca0	string	13	BITMAPBUTTON
00436cb0	unicode	26	BITMAPBUTTON
00436cd0	string	11	ICONBUTTON
00436ce0	unicode	22	ICONBUTTON
00436cf8	unicode	24	CUSTOMLABEL
00436d10	unicode	12	FRAME
00436d20	unicode	24	FRAMEWINDOW
00436d38	unicode	18	GROUPBOX
00436d50	unicode	10	LINE
00436d60	string	8	TEXTBOX
00436d68	unicode	10	EDIT
00436d78	unicode	16	TEXTBOX
00436d90	unicode	28	EDITMULTILINE
00436db0	unicode	34	MULTILINETEXTBOX
00436dd8	string	9	COMBOBOX
00436de8	unicode	18	COMBOBOX
00436e00	unicode	22	COMBOBOXEX
00436e18	unicode	26	COMBOBOXEX32
00436e38	string	13	ComboBoxEx32
00436e48	string	8	LISTBOX
00436e50	unicode	16	LISTBOX
00436e60	string	12	PROGRESSBAR
00436e70	string	18	MSCTLS_PROGRESS32
00436e88	unicode	24	PROGRESSBAR
00436ea0	unicode	36	MSCTLS_PROGRESS32
00436ec8	string	18	msctls_progress32
00436ee0	unicode	14	HEADER
00436ef0	unicode	24	SYSHEADER32
00436f08	string	12	SysHeader32
00436f18	unicode	18	TREEVIEW
00436f30	unicode	28	SYSTREEVIEW32
00436f50	string	14	SysTreeView32
00436f60	unicode	18	LISTVIEW
00436f78	unicode	28	SYSLISTVIEW32
00436f98	string	14	SysListView32
00436fa8	string	8	TOOLBAR
00436fb0	string	16	TOOLBARWINDOW32
00436fc0	unicode	16	TOOLBAR
00436fd0	unicode	32	TOOLBARWINDOW32
00436ff0	string	16	ToolbarWindow32
00437000	unicode	12	REBAR
00437010	unicode	28	REBARWINDOW32
00437030	string	14	ReBarWindow32
00437040	string	15	DATETIMEPICKER
00437050	string	18	SYSDATETIMEPICK32
00437068	unicode	30	DATETIMEPICKER
00437088	unicode	36	SYSDATETIMEPICK32
004370b0	string	18	SysDateTimePick32
004370c8	unicode	28	MONTHCALENDAR
004370e8	unicode	18	MONTHCAL
00437100	unicode	28	SYSMONTHCAL32
00437120	string	14	SysMonthCal32
00437130	unicode	20	IPADDRESS
00437148	unicode	30	SYSIPADDRESS32
00437168	string	15	SysIPAddress32
00437178	unicode	14	HOTKEY
00437188	unicode	32	MSCTLS_HOTKEY32
004371a8	string	16	msctls_hotkey32
004371b8	unicode	16	ANIMATE
004371c8	unicode	20	ANIMATION
004371e0	unicode	26	SYSANIMATE32
00437200	string	13	SysAnimate32
00437210	unicode	16	SYSLINK
00437220	unicode	12	PAGER
00437230	unicode	18	SYSPAGER
00437248	string	9	SysPager
00437260	unicode	22	TABCONTROL
00437278	unicode	32	SYSTABCONTROL32
00437298	string	16	SysTabControl32
004372a8	unicode	20	STATUSBAR
004372c0	unicode	38	MSCTLS_STATUSBAR32
004372e8	string	19	msctls_statusbar32
00437300	unicode	16	SIZEBAR
00437310	unicode	16	SIZEBOX
00437320	unicode	18	SIZEGRIP
00437338	string	10	Scrollbar
00437348	string	11	HSCROLLBAR
00437358	unicode	22	HSCROLLBAR
00437370	string	11	VSCROLLBAR
00437380	unicode	22	VSCROLLBAR
00437398	string	9	TRACKBAR
004373a8	string	18	MSCTLS_TRACKBAR32
004373c0	unicode	18	TRACKBAR
004373d8	unicode	36	MSCTLS_TRACKBAR32
00437400	unicode	14	SLIDER
00437410	string	18	msctls_trackbar32
00437428	string	7	UPDOWN
00437430	string	16	MSCTLS_UPDOWN32
00437440	unicode	14	UPDOWN
00437450	unicode	32	MSCTLS_UPDOWN32
00437470	string	16	msctls_updown32
00437480	string	9	RICHEDIT
00437490	string	12	RichEdit50W
004374a0	unicode	18	RICHEDIT
004374b8	unicode	24	RichEdit50W
004374d0	unicode	22	OLDWNDPROC
004374e8	string	8	Label
004374f8	string	8	&Cancel
00437520	string	12	GDIPLUS.DLL
00437530	string	8	Unknown
00437540	string	16	Generic error
00437550	string	20	Invalid parameter
00437568	string	16	Out of memory
00437578	string	12	Object busy
00437588	string	20	Insufficient buffer
004375a0	string	16	Not implemented
004375b0	string	16	Win 32 error
004375c0	string	12	Wrong state
004375d0	string	8	Aborted
004375d8	string	16	File not found
004375e8	string	16	Value overflow
004375f8	string	16	Access denied
00437608	string	24	Unknown image format
00437620	string	24	Font family not found
00437638	string	24	Font style not found
00437650	string	20	Not TrueType font
00437668	string	28	Unsupported GdiPlus version
00437688	string	24	GdiPlus not initialized
004376a0	string	20	Property not found
004376b8	string	24	Property not supported
004376d0	string	12	image/bmp
004376e0	unicode	20	image/bmp
004376f8	unicode	24	image/jpeg
00437710	unicode	20	image/png
00437728	unicode	20	image/gif
00437740	unicode	24	image/tiff
00437760	string	40	GDI+ initialization failed - Error: 
00437788	unicode	12	Error
00437798	string	16	Microsoft YaHei
004377b8	string	16	AAAAA_APPICON
004377e0	unicode	32	Microsoft YaHei
00437810	unicode	12	Right
00437828	unicode	16	Bottom
00437838	unicode	16	TopMost
00437848	unicode	12	flags
00437868	string	12	RICHEDIT50W
00437878	string	8	ListBox
00437880	string	9	ComboBox
00437a80	string	7	SimSun
00437a88	unicode	36	tooltips_class32
00437ab0	string	15	bt656 mwindows
00437ac0	string	30	CVBS Scrambling Assistant 1.0
00437ae0	string	6	bt656
00437ae8	unicode	28	AAAAA_APPICON
00437b08	string	9	(0~7679)
00437b18	string	9	Lb_range
00437b28	string	20	Microsoft YaHei,9,0
00437b48	string	9	Opt_ntsc
00437b60	string	8	Opt_Pal
00437b68	string	17	Cvbs_in_standard
00437b80	string	13	Frm_ntsc_pal
00437b90	string	7	Module
00437b98	string	8	F_tx_rx
00437ba0	string	13	Descrambling
00437bb0	string	17	Opt_Descrambling
00437bc8	string	18	Microsoft YaHei,9
00437be0	string	11	Scrambling
00437bf0	string	15	Opt_Scrambling
00437c00	string	6	Write
00437c08	string	10	cmd_write
00437c20	string	9	cmd_read
00437c30	string	12	cuart_color
00437c48	string	9	cmd_open
00437c58	string	10	cbox_port
00437cb0	string	6	COM10
00437cb8	string	6	COM11
00437cc0	string	6	COM12
00437cc8	string	6	COM13
00437cd0	string	6	COM14
00437cd8	string	6	COM15
00437ce0	string	6	COM16
00437ce8	string	6	COM17
00437cf0	string	6	COM18
00437cf8	string	6	COM19
00437d00	string	6	COM20
00437d08	string	6	COM21
00437d10	string	6	COM22
00437d18	string	6	COM23
00437d20	string	6	COM24
00437d28	string	6	COM25
00437d30	string	6	COM26
00437d38	string	6	COM27
00437d40	string	6	COM28
00437d48	string	6	COM29
00437d50	string	6	COM30
00437d58	string	6	COM31
00437d60	string	6	COM32
00437d68	string	6	COM33
00437d70	string	6	COM34
00437d78	string	6	COM35
00437d80	string	6	COM36
00437d88	string	6	COM37
00437d90	string	6	COM38
00437d98	string	6	COM39
00437da0	string	6	COM40
00437da8	string	6	Port:
00437db0	string	6	Lport
00437dc0	string	11	com_select
00437dd0	string	6	Seed:
00437dd8	string	10	Lb_random
00437df8	string	20	Hi,Welcome To You !
00437e10	string	8	Lp_info
00437e18	string	19	@Microsoft YaHei,9
00437e48	string	8	\\.\COM
00437e50	string	6	Close
00437e58	string	9	Open Com
00437e68	string	8	 Error!
00437e70	string	13	Write Error!
00437e80	string	19	Write Successfull!
00437e98	string	12	Read Error!
00437ea8	string	18	Read Successfull!
00438260	string	6	%s@%d
00438660	string	14	Unknown error
00438670	string	31	Argument domain error (DOMAIN)
00438690	string	32	Overflow range error (OVERFLOW)
004386b0	string	37	Partial loss of significance (PLOSS)
004386d8	string	35	Total loss of significance (TLOSS)
00438700	string	54	The result is too small to be represented (UNDERFLOW)
00438736	string	28	Argument singularity (SIGN)
00438758	string	43	_matherr(): %s in %s(%g, %g)  (retval=%g)\n
004387a0	string	28	Mingw-w64 runtime failure:\n
004387c0	string	32	Address %p has no image-section
004387e0	string	49	  VirtualQuery failed for %d bytes at address %p
00438818	string	39	  VirtualProtect failed with code 0x%x
00438840	string	50	  Unknown pseudo relocation protocol version %d.\n
00438878	string	42	  Unknown pseudo relocation bit size %d.\n
004388d8	string	7	.pdata
00438943	string	6	inity
00438ac2	string	9	23456789
00438e70	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00438ec0	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00438f10	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00438f60	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00438fb0	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439000	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439050	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
004390a0	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
004390f0	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439140	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439190	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
004391e0	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439230	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439280	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
004392d0	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439320	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
00439370	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
004393c0	string	68	GCC: (MinGW-W64 x86_64-posix-sjlj, built by Brecht Sanders) 9.3.0
