addr	type	namespace	name	source
EXTERNAL:00000001	Function	COMCTL32.DLL	InitCommonControlsEx	IMPORTED
EXTERNAL:00000002	Function	COMCTL32.DLL	SetWindowSubclass	IMPORTED
EXTERNAL:00000003	Function	GDI32.DLL	BitBlt	IMPORTED
EXTERNAL:00000004	Function	GDI32.DLL	CreateCompatibleBitmap	IMPORTED
EXTERNAL:00000005	Function	GDI32.DLL	CreateCompatibleDC	IMPORTED
EXTERNAL:00000006	Function	GDI32.DLL	CreateDCW	IMPORTED
EXTERNAL:00000007	Function	GDI32.DLL	CreateDIBSection	IMPORTED
EXTERNAL:00000008	Function	GDI32.DLL	CreateFontIndirectW	IMPORTED
EXTERNAL:00000009	Function	GDI32.DLL	CreatePen	IMPORTED
EXTERNAL:0000000a	Function	GDI32.DLL	CreateSolidBrush	IMPORTED
EXTERNAL:0000000b	Function	GDI32.DLL	DeleteDC	IMPORTED
EXTERNAL:0000000c	Function	GDI32.DLL	DeleteObject	IMPORTED
EXTERNAL:0000000d	Function	GDI32.DLL	Ellipse	IMPORTED
EXTERNAL:0000000e	Function	GDI32.DLL	GetDeviceCaps	IMPORTED
EXTERNAL:0000000f	Function	GDI32.DLL	GetObjectW	IMPORTED
EXTERNAL:00000010	Function	GDI32.DLL	GetStockObject	IMPORTED
EXTERNAL:00000011	Function	GDI32.DLL	GetTextExtentPoint32A	IMPORTED
EXTERNAL:00000012	Function	GDI32.DLL	LineTo	IMPORTED
EXTERNAL:00000013	Function	GDI32.DLL	MoveToEx	IMPORTED
EXTERNAL:00000014	Function	GDI32.DLL	Rectangle	IMPORTED
EXTERNAL:00000015	Function	GDI32.DLL	RoundRect	IMPORTED
EXTERNAL:00000016	Function	GDI32.DLL	SelectObject	IMPORTED
EXTERNAL:00000017	Function	GDI32.DLL	SetBkColor	IMPORTED
EXTERNAL:00000018	Function	GDI32.DLL	SetBkMode	IMPORTED
EXTERNAL:00000019	Function	GDI32.DLL	SetTextColor	IMPORTED
EXTERNAL:0000001a	Function	GDI32.DLL	TextOutW	IMPORTED
EXTERNAL:0000001b	Function	GDIPLUS.DLL	GdipAddPathArc	IMPORTED
EXTERNAL:0000001c	Function	GDIPLUS.DLL	GdipAddPathLine	IMPORTED
EXTERNAL:0000001d	Label	GDIPLUS.DLL	GdipAddPathString	IMPORTED
EXTERNAL:0000001e	Label	GDIPLUS.DLL	GdipBitmapGetPixel	IMPORTED
EXTERNAL:0000001f	Label	GDIPLUS.DLL	GdipBitmapSetPixel	IMPORTED
EXTERNAL:00000020	Function	GDIPLUS.DLL	GdipClosePathFigure	IMPORTED
EXTERNAL:00000021	Label	GDIPLUS.DLL	GdipCreateBitmapFromHBITMAP	IMPORTED
EXTERNAL:00000022	Label	GDIPLUS.DLL	GdipCreateBitmapFromStream	IMPORTED
EXTERNAL:00000023	Label	GDIPLUS.DLL	GdipCreateFontFamilyFromName	IMPORTED
EXTERNAL:00000024	Function	GDIPLUS.DLL	GdipCreateFromHDC	IMPORTED
EXTERNAL:00000025	Label	GDIPLUS.DLL	GdipCreateHBITMAPFromBitmap	IMPORTED
EXTERNAL:00000026	Label	GDIPLUS.DLL	GdipCreateHICONFromBitmap	IMPORTED
EXTERNAL:00000027	Function	GDIPLUS.DLL	GdipCreateLineBrush	IMPORTED
EXTERNAL:00000028	Function	GDIPLUS.DLL	GdipCreatePath	IMPORTED
EXTERNAL:00000029	Function	GDIPLUS.DLL	GdipCreatePen1	IMPORTED
EXTERNAL:0000002a	Function	GDIPLUS.DLL	GdipCreateSolidFill	IMPORTED
EXTERNAL:0000002b	Function	GDIPLUS.DLL	GdipDeleteBrush	IMPORTED
EXTERNAL:0000002c	Label	GDIPLUS.DLL	GdipDeleteCustomLineCap	IMPORTED
EXTERNAL:0000002d	Function	GDIPLUS.DLL	GdipDeleteFontFamily	IMPORTED
EXTERNAL:0000002e	Function	GDIPLUS.DLL	GdipDeleteGraphics	IMPORTED
EXTERNAL:0000002f	Function	GDIPLUS.DLL	GdipDeletePath	IMPORTED
EXTERNAL:00000030	Function	GDIPLUS.DLL	GdipDeletePen	IMPORTED
EXTERNAL:00000031	Function	GDIPLUS.DLL	GdipDisposeImage	IMPORTED
EXTERNAL:00000032	Function	GDIPLUS.DLL	GdipDrawEllipse	IMPORTED
EXTERNAL:00000033	Label	GDIPLUS.DLL	GdipDrawImageRect	IMPORTED
EXTERNAL:00000034	Function	GDIPLUS.DLL	GdipDrawPath	IMPORTED
EXTERNAL:00000035	Function	GDIPLUS.DLL	GdipDrawPolygon	IMPORTED
EXTERNAL:00000036	Function	GDIPLUS.DLL	GdipDrawRectangle	IMPORTED
EXTERNAL:00000037	Function	GDIPLUS.DLL	GdipFillEllipse	IMPORTED
EXTERNAL:00000038	Function	GDIPLUS.DLL	GdipFillPath	IMPORTED
EXTERNAL:00000039	Function	GDIPLUS.DLL	GdipFillPolygon	IMPORTED
EXTERNAL:0000003a	Function	GDIPLUS.DLL	GdipFillRectangle	IMPORTED
EXTERNAL:0000003b	Label	GDIPLUS.DLL	GdipGetImageEncoders	IMPORTED
EXTERNAL:0000003c	Label	GDIPLUS.DLL	GdipGetImageEncodersSize	IMPORTED
EXTERNAL:0000003d	Label	GDIPLUS.DLL	GdipGetImageHeight	IMPORTED
EXTERNAL:0000003e	Label	GDIPLUS.DLL	GdipGetImageWidth	IMPORTED
